 number of particles 1, FPS 0
 number of particles 2, FPS 4227
 number of particles 3, FPS 4227
 number of particles 4, FPS 4227
 number of particles 5, FPS 2136
 number of particles 6, FPS 2136
 number of particles 7, FPS 2136
 number of particles 8, FPS 1429
 number of particles 9, FPS 1429
 number of particles 10, FPS 1429
 number of particles 11, FPS 1074
 number of particles 12, FPS 1074
 number of particles 13, FPS 1074
 number of particles 14, FPS 860
 number of particles 15, FPS 860
 number of particles 16, FPS 860
 number of particles 17, FPS 717
 number of particles 18, FPS 717
 number of particles 19, FPS 717
 number of particles 20, FPS 615
 number of particles 21, FPS 615
 number of particles 22, FPS 615
 number of particles 23, FPS 538
 number of particles 24, FPS 538
 number of particles 25, FPS 538
 number of particles 26, FPS 479
 number of particles 27, FPS 479
 number of particles 28, FPS 479
 number of particles 29, FPS 431
 number of particles 30, FPS 431
 number of particles 31, FPS 431
 number of particles 32, FPS 392
 number of particles 33, FPS 392
 number of particles 34, FPS 392
 number of particles 35, FPS 359
 number of particles 36, FPS 359
 number of particles 37, FPS 359
 number of particles 38, FPS 332
 number of particles 39, FPS 332
 number of particles 40, FPS 332
 number of particles 41, FPS 308
 number of particles 42, FPS 308
 number of particles 43, FPS 308
 number of particles 44, FPS 288
 number of particles 45, FPS 288
 number of particles 46, FPS 288
 number of particles 47, FPS 270
 number of particles 48, FPS 270
 number of particles 49, FPS 270
 number of particles 50, FPS 254
 number of particles 51, FPS 254
 number of particles 52, FPS 254
 number of particles 53, FPS 240
 number of particles 54, FPS 240
 number of particles 55, FPS 240
 number of particles 56, FPS 227
 number of particles 57, FPS 227
 number of particles 58, FPS 227
 number of particles 59, FPS 216
 number of particles 60, FPS 216
 number of particles 61, FPS 216
 number of particles 62, FPS 205
 number of particles 63, FPS 205
 number of particles 64, FPS 205
 number of particles 65, FPS 196
 number of particles 66, FPS 196
 number of particles 67, FPS 196
 number of particles 68, FPS 188
 number of particles 69, FPS 188
 number of particles 70, FPS 188
 number of particles 71, FPS 180
